section_name,category,item_name,item_code,value_code,price,source_page_reference
Tratamentos Antirreﬂexo,service,Gamalab Sigma Supreme,,311,933.0,Pagina 26
Tratamentos Antirreﬂexo,service,Hoya Clean extra,,160,480.0,Pagina 26
Tratamentos Antirreﬂexo,service,Gamalab Sigma Premium,,180,540.0,Pagina 26
Tratamentos Antirreﬂexo,service,Hoya No-Risk,,295,885.0,Pagina 26
Tratamentos Antirreﬂexo,service,Gamalab Sigma Light,,102,306.0,Pagina 26
Tratamentos Antirreﬂexo,service,Hoya No risk Blue control,,295,885.0,Pagina 26
Tratamentos Antirreﬂexo,service,Gamalab Sigma Light interno,,85,255.0,Pagina 26
Tratamentos Antirreﬂexo,service,Hoya Blue control,,390,1170.0,Pagina 26
Tratamentos Antirreﬂexo,service,Gamalab Sigma Light de terceio,,145,435.0,Pagina 26
Tratamentos Antirreﬂexo,service,Hoya Long Life,,390,1170.0,Pagina 26
Tratamentos Antirreﬂexo,service,Gamalab Sigma Blue,,205,615.0,Pagina 26
Tratamentos Antirreﬂexo,service,Tratamento Antirisco,,41,164.0,Pagina 26
Tratamentos Antirreﬂexo,service,Essilor Crizal Sapphire,,622,1866.0,Pagina 26
Tratamentos Antirreﬂexo,service,Tratamento Anti-UV 400nm,,38,152.0,Pagina 26
Tratamentos Antirreﬂexo,service,Essilor Crizal Prevencia,,622,1866.0,Pagina 26
Tratamentos Antirreﬂexo,service,Tratamento Video Filter,,42,168.0,Pagina 26
Tratamentos Antirreﬂexo,service,Essilor Crizal rock UV,,455,1365.0,Pagina 26
Tratamentos Antirreﬂexo,service,Tratamento Night Drive,,42,168.0,Pagina 26
Tratamentos Antirreﬂexo,service,Essilor Crizal Easy PRO,,239,717.0,Pagina 26
Tratamentos Antirreﬂexo,service,Destratamento Antirreﬂexo,,21,84.0,Pagina 26
Tratamentos Antirreﬂexo,service,Essilor Trio Easy Clean,,147,441.0,Pagina 26
Tratamentos Antirreﬂexo,service,Essilor No-Reﬂex,,149,447.0,Pagina 26
Tratamentos Antirreﬂexo,service,Essilor Optifog,,408,1224.0,Pagina 26
Tratamentos Antirreﬂexo,service,Visão Simples,,16,48.0,Pagina 26
Tratamentos Antirreﬂexo,service,Multifocal,,18,54.0,Pagina 26
Montagem,service,Solar Comum,,21,63.0,Pagina 26
Colorações,coloration,Total Cinza,406,25,100.0,Pagina 26
Montagem,service,3 peças,,40,120.0,Pagina 26
Colorações,coloration,Total Marom,407,25,100.0,Pagina 26
Montagem,service,Bifocal,,17,51.0,Pagina 26
Colorações,coloration,Total G15,408,25,100.0,Pagina 26
Montagem,service,de Lentes Fio/Aro,,18,54.0,Pagina 26
Colorações,coloration,Degradê Cinza,403,32,128.0,Pagina 26
Montagem,service,Foto/ Transitions,,18,54.0,Pagina 26
Colorações,coloration,Degradê Marrom,404,32,128.0,Pagina 26
Montagem,service,1.59 Nylon ou Aro,,19,57.0,Pagina 26
Colorações,coloration,Degradê G15,405,32,128.0,Pagina 26
Montagem,service,Alto Índice,,19,57.0,Pagina 26
Colorações,coloration,1.59 e Alto Índice Total Cinza,412,32,128.0,Pagina 26
Montagem,service,Especial,,65,195.0,Pagina 26
Colorações,coloration,1.59 e Alto Índice Total Marrom,413,32,128.0,Pagina 26
Montagem,service,Digital,,18,54.0,Pagina 26
Colorações,coloration,1.59 e Alto Índice Total G15,414,32,128.0,Pagina 26
Montagem,service,Visão Simples (Lentes não compradas na Gamalab),,65,195.0,Pagina 26
Colorações,coloration,1.59 e Alto Índice Degradê Cinza,409,32,128.0,Pagina 26
Montagem,service,Multifocal (Lentes não compradas na Gamalab),,81,243.0,Pagina 26
Colorações,coloration,1.59 e Alto Índice Degradê Marrom,410,32,128.0,Pagina 26
Montagem,service,Cristal,,65,195.0,Pagina 26
Colorações,coloration,1.59 e Alto Índice Degradê G15,411,32,128.0,Pagina 26
Montagem,service,Opticlik,,18,72.0,Pagina 26
Insumos,supply,Black Pad (Caixa com 1.000 Peças) 244mm,,381,,Pagina 26
Insumos,supply,Corante Catalítico Amarelo (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Azul (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Cinza Black (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Cinza Oftalmico (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico G15 (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Marrom Dark (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Marrom Oftalmico (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Rosa (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Verde (8gr),,138,,Pagina 26
Insumos,supply,Corante Catalítico Vermelho (8gr),,138,,Pagina 26
Insumos,supply,Corante Fashion Dark Purple (8gr),,138,,Pagina 26
Insumos,supply,Corante Fashion Orange (8gr),,138,,Pagina 26
Insumos,supply,Corante Fashion Purple (8gr),,138,,Pagina 26
Insumos,supply,Corante Fashion Red (8gr),,138,,Pagina 26
Insumos,supply,Corante Fashion Yellow (8gr),,138,,Pagina 26
